M4 logit (natural),M4 logit (balanced),M4 logit (smote),RF (natural),RF (balanced),GBM (natural),XGB (natural),XGB (scale_pos_weight)
0.10344087769068595,0.43911568235813087,0.32152635223935333,0.061019033233414476,0.22323137422143158,0.037833711923927725,0.032631834223866465,0.10271895974874497
0.2952248201479192,0.5825737494777873,0.6831585303067171,0.2127141413986558,0.4613254642954331,0.1825662916075975,0.20499603673815728,0.44397008419036865
0.22333023861859425,0.5234122970847784,0.535772435775183,0.14230786573718804,0.2785750418483734,0.07122326472322449,0.08779380228370429,0.1817458656616509
0.2144156791838705,0.647556218955778,0.5580932346761427,0.25379237612743627,0.4233612443407114,0.30572183626316474,0.1457099210470915,0.37136757671833037
0.26171199920606164,0.5284369910175836,0.641250365754853,0.19600912044238195,0.4391932472432213,0.3032678204766338,0.22301244288682937,0.520577922463417
0.06597749571734049,0.33051659432748937,0.21849645272852442,0.09253470052780204,0.2683603301849483,0.17671710981534944,0.14885724037885667,0.3882315278053284
0.06290853848060876,0.3007647005856938,0.2086411533210609,0.06512651885336629,0.14818438899835665,0.02677604169965525,0.03415637072175741,0.050167946889996526
0.09677296819595536,0.4396539842513178,0.28644732366426184,0.13291059544470313,0.35157430553027974,0.08385824914171183,0.1139242958277464,0.31980622559785843
0.2669136628635214,0.7175804968155809,0.6874123413139201,0.40308173906131034,0.6567008741120215,0.508926435554524,0.5847545802593231,0.822600907087326
0.12383366156260685,0.3307998441857963,0.3618474218133848,0.1435350949660678,0.4148054237687126,0.1521914975204644,0.17141645029187202,0.4412224039435387
0.11928543000733789,0.46433771984437444,0.3731100827262352,0.14177800894443596,0.33602814237888573,0.10327155427819974,0.11724351383745671,0.31599896773695946
0.057115896494998056,0.16990779728204816,0.19674260820163725,0.08650959714046237,0.19779110649597628,0.055067450271724175,0.09544909168034792,0.24140180870890618
0.11546516870829034,0.31531763830021997,0.37166656271074267,0.1437075098395611,0.39803830130865203,0.20980654936688287,0.21339554637670516,0.5084971398115158
0.24872388754002972,0.5413324816384617,0.5956128342813706,0.2702269620129164,0.5569159855634649,0.22621030360105707,0.2604861095547676,0.5805107116699219
0.5281300878781867,0.7709829885024675,0.8786455083937504,0.46992631134975493,0.7265864198670391,0.3941018091569361,0.6193583250045777,0.8127174794673919
0.11912358237956663,0.4901945910510296,0.35237931959223123,0.06670948826783431,0.25206324567291516,0.039474451140705004,0.03689191620796919,0.11219732649624348
0.29921949206704646,0.5960338394899448,0.6675411973626042,0.12525372536688245,0.3058275764890477,0.03338732796761752,0.08089520260691643,0.14128213301301001
0.07982538872631746,0.24525220690315716,0.25383800218822095,0.08935066567532486,0.26687449247063544,0.12043547433012367,0.07242166623473167,0.2831624701619148
0.022992071819156266,0.14076980273954617,0.06774506570329616,0.09564233553343075,0.20321053996140148,0.08923108788523373,0.08098409809172154,0.11336706429719925
0.17211588713189413,0.6134481382232962,0.4945601637842373,0.1403561741125293,0.3446997026230362,0.04002387661587374,0.06676258556544781,0.2213452398777008
0.05115707041858195,0.29132693052523756,0.1524776683857773,0.10313190679544997,0.2946858045998989,0.09901560804421325,0.12482318729162216,0.3407306015491486
0.11135129196644826,0.5096537213234655,0.2948214685872689,0.2239960752961993,0.414486010828979,0.3113570021980244,0.3239250287413597,0.6338965177536011
0.1855576742860704,0.44053294619676436,0.470656848398238,0.17503368767694452,0.3931821219876427,0.2518220435364576,0.26898240447044375,0.5393361121416091
0.03250684743247883,0.1811428363643009,0.11408191370062451,0.05456885856125322,0.13899360877447814,0.0219187614430282,0.027010256052017213,0.035782959312200546
0.26231683792968474,0.5369523712923261,0.6163252048388275,0.21735664558971957,0.5027508144187236,0.17798067795463327,0.19010621383786203,0.4603722870349884
0.08175171839291404,0.2653996791140385,0.2554027514876692,0.14027873806939822,0.25863756114218345,0.17673002311314592,0.14299662373960018,0.26427396945655346
0.15755262550576768,0.5767856408837508,0.49296509238040664,0.17126513529048182,0.4202453973968211,0.17466659387165948,0.17329291701316835,0.4560855835676193
0.1602336809549143,0.4024322650947424,0.4624322058508949,0.1494774529700576,0.4308567863329274,0.11903682833637319,0.13881468027830124,0.4050709240138531
0.23992070548620553,0.5117967049486591,0.5898270234256304,0.17762106725834617,0.4582448492699506,0.1486187993680047,0.13353445529937744,0.3311540737748146
0.06458098840335227,0.32835657619255676,0.20061543891540085,0.10303335586336707,0.3122026149548477,0.11970711424791058,0.10155907906591892,0.28850497826933863
0.1083718728907989,0.4426496066629748,0.32668741616943947,0.0899854395609794,0.2364721972107676,0.11087671371746935,0.15222419500350953,0.3545880451798439
0.05256243504855333,0.29763212990563537,0.15812996127904433,0.05993137750215192,0.19946272531070047,0.03267093575660112,0.03348820190876722,0.08382533118128777
0.5565397472583651,0.7883351331172518,0.891527003063309,0.46527449271037097,0.7059847806477921,0.7870400200557347,0.7017927139997482,0.8856528282165528
0.13218430611262327,0.5635153414083753,0.39243208889384423,0.1324101410691802,0.2708271043353192,0.08183992502341761,0.06157963275909424,0.11854927949607372
0.13484347372763325,0.5180883165189215,0.39535733335324463,0.27601425178849043,0.4761565844280996,0.3375595183505853,0.2970377758145332,0.5878397345542907
0.4259782947173383,0.7317307426645844,0.7801990992562455,0.31457343943295923,0.45090461767592294,0.27298646484176514,0.27226793169975283,0.36023114919662474
0.07998565588293223,0.3804831902801388,0.26083766547432513,0.08081123440647461,0.2737764109976373,0.09094039151755398,0.11125284936279059,0.3261647693812847
0.417727888855267,0.8349623259427981,0.828672338321644,0.32274207539745203,0.4896558455737031,0.36839521564749034,0.12127673923969269,0.28493044078350066
0.20218441045568541,0.4965646432327535,0.5235601211528653,0.19407237679415734,0.37280180166646004,0.08605692856925214,0.14546337015926838,0.33115851432085036
0.17511154676316174,0.4650168578974257,0.4238143485889285,0.129640101340657,0.23113575831557007,0.014113126399517745,0.05375391524285078,0.051849487237632275
0.2730197513881934,0.5464955140851514,0.668560232332571,0.20600554559430506,0.42983610291594604,0.13440086188998424,0.15308867841959,0.39463566839694975
0.2604188299526644,0.727617322706164,0.6311783587211608,0.2862273172833369,0.5571719532470918,0.21965372246989304,0.4166227370500565,0.7034327775239945
0.2678667356626666,0.5279172905648364,0.6706198399480964,0.2727282243489777,0.48247910955799406,0.27792461245032685,0.3483223095536232,0.5927698701620102
